Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15
1,29/09/2003,2,3,5,6,9,10,11,13,14,16,18,20,23,24,25
2,06/10/2003,1,4,5,6,7,9,11,12,13,15,16,19,20,23,24
3,13/10/2003,1,4,6,7,8,9,10,11,12,14,16,17,20,23,24
4,20/10/2003,1,2,4,5,8,10,12,13,16,17,18,19,23,24,25
5,27/10/2003,1,2,4,8,9,11,12,13,15,16,19,20,23,24,25
6,03/11/2003,1,2,4,5,6,7,10,12,15,16,17,19,21,23,25
7,10/11/2003,1,4,7,8,10,12,14,15,16,18,19,21,22,23,25
8,17/11/2003,1,5,6,8,9,10,13,15,16,17,18,19,20,22,25
9,24/11/2003,3,4,5,9,10,11,13,15,16,17,19,20,21,24,25
10,01/12/2003,2,3,4,5,6,8,9,10,11,12,14,19,20,23,24
11,08/12/2003,2,6,7,8,9,10,11,12,16,19,20,22,23,24,25
12,15/12/2003,1,2,4,5,7,8,9,10,11,12,14,16,17,24,25
13,22/12/2003,3,5,6,7,8,9,10,11,13,14,15,16,17,19,23
14,29/12/2003,1,2,5,6,7,9,13,14,15,18,19,20,21,23,25
15,05/01/2004,1,2,4,6,8,10,12,15,16,18,19,21,23,24,25
16,12/01/2004,2,5,6,7,8,10,12,13,15,17,19,21,23,24,25
17,19/01/2004,1,2,3,5,6,7,9,13,14,16,17,18,19,20,21
18,26/01/2004,2,6,7,8,10,11,14,15,17,18,19,20,22,23,24
19,02/02/2004,2,5,6,7,8,10,11,13,14,15,16,17,20,23,24
20,09/02/2004,3,4,6,7,8,9,10,14,16,17,18,19,20,23,24
21,16/02/2004,1,2,4,5,8,11,14,16,18,19,20,22,23,24,25
22,25/02/2004,1,2,3,4,5,6,7,9,10,12,13,14,15,22,25
23,01/03/2004,1,3,4,5,6,8,10,11,12,14,16,17,18,19,20
24,08/03/2004,1,2,3,5,7,10,11,14,17,19,20,21,23,24,25
25,15/03/2004,1,2,3,4,5,6,7,9,13,14,16,20,22,23,24
26,22/03/2004,5,7,8,9,10,11,13,14,16,17,19,20,21,22,23
27,29/03/2004,3,6,8,10,11,12,13,14,15,18,20,21,22,24,25
28,05/04/2004,1,3,7,9,10,11,12,13,14,16,17,18,19,20,21
29,12/04/2004,1,4,5,6,8,9,13,14,16,17,19,20,21,22,24
30,19/04/2004,1,2,3,4,6,7,8,11,14,17,19,20,21,22,23
31,26/04/2004,1,2,3,4,9,13,14,15,17,19,20,21,22,24,25
32,03/05/2004,1,2,4,6,7,9,10,11,14,15,16,17,20,22,23
33,10/05/2004,1,2,5,7,8,10,11,12,14,16,19,20,21,23,24
34,17/05/2004,1,2,4,7,8,9,10,11,15,16,18,19,20,21,23
